link,rss,country,archive,name,country_image,user agent
http://www.newsday.com/,https://www.newsday.com/api/rss/recent,United States,false,NewsDay,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://foreignpolicy.com/,https://foreignpolicy.com/feed/,United States,false,Foreign Policy,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://metro.co.uk/,https://metro.co.uk/feed/,United Kingdom,false,Metro,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1920px-Flag_of_the_United_Kingdom.svg.png,none
http://www.chinadaily.com.cn/,http://www.chinadaily.com.cn/rss/china_rss.xml,China,false,China Daily,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/1280px-Flag_of_the_People%27s_Republic_of_China.svg.png,none
https://washingtonpost.com/,https://feeds.washingtonpost.com/rss/world,United States,true,Washington Post,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://www.latimes.com/,https://www.latimes.com/politics/rss2.0.xml,United States,true,LaTimes,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://www.ft.com/,https://www.ft.com/rss/home,United States,true,Financial Times,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://www.usatoday.com/,https://rssfeeds.usatoday.com/usatoday-NewsTopStories,United States,true,USA Today,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://www.tampabay.com/,https://rss2.feedspot.com/https://www.tampabay.com/news/nation-world/,United States,true,Tampa Bay,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://nypost.com/,https://nypost.com/feed/,United States,true,New York Post,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://www.chicagotribune.com/,https://www.chicagotribune.com/arc/outboundfeeds/rss/section/news_breaking/range/display_date/now-5d/now/?outputType=xml&size=50,United States,true,Chicago Tribune,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://www.bloomberg.com/europe,https://rss2.feedspot.com/https://www.bloomberg.com/politics,United States,false,Bloomberg,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML
https://www.theamericanconservative.com/,https://www.theamericanconservative.com/feed/,United States,false,The American Conservative,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/1920px-Flag_of_the_United_States.svg.png,none
https://www.thesun.co.uk/,https://www.thesun.co.uk/feed/,United Kingdom,false,The Sun,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1920px-Flag_of_the_United_Kingdom.svg.png,none
https://www.dailymail.co.uk/home/index.html,https://www.dailymail.co.uk/home/index.rss,United Kingdom,false,Daily Mail,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1920px-Flag_of_the_United_Kingdom.svg.png,none
https://www.standard.co.uk/,https://www.standard.co.uk/rss,United Kingdom,false,Evening Standard,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1920px-Flag_of_the_United_Kingdom.svg.png,none
https://www.mirror.co.uk/,https://www.mirror.co.uk/?service=rss,United Kingdom,false,Mirror,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1920px-Flag_of_the_United_Kingdom.svg.png,none
https://www.telegraph.co.uk/,https://www.telegraph.co.uk/rss.xml,United Kingdom,false,The Telegraph,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1920px-Flag_of_the_United_Kingdom.svg.png,none
https://www.reuters.com/,https://rss2.feedspot.com/https://www.reuters.com/,United Kingdom,false,Reuters,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1920px-Flag_of_the_United_Kingdom.svg.png,none
https://www.bbc.co.uk/,http://feeds.bbci.co.uk/news/rss.xml#,United Kingdom,false,BBC,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1920px-Flag_of_the_United_Kingdom.svg.png,none
https://www.bild.de/,"https://www.bild.de/rssfeeds/vw-alles/vw-alles-26970192,dzbildplus=false,sort=1,teaserbildmobil=false,view=rss2,wtmc=ob.feed.bild.xml",Germany,false,Bild.de,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/180px-Flag_of_Germany.svg.png,none
https://www.zeit.de/,https://newsfeed.zeit.de/index,Germany,false,Zeit.de,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/180px-Flag_of_Germany.svg.png,none
https://www.faz.net/,https://www.faz.net/rss/aktuell/,Germany,false,FAZ.NET,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/180px-Flag_of_Germany.svg.png,none
https://www.fr.de/,https://www.fr.de/rssfeed.rdf,Germany,false,Frankfurter Rundschau,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/180px-Flag_of_Germany.svg.png,none
https://www.sueddeutsche.de/,https://rss.sueddeutsche.de/app/service/rss/alles/index.rss?output=rss,Germany,false,SZ.de,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/180px-Flag_of_Germany.svg.png,none
